Model,Avg Power (W),Min Power (W),Max Power (W),Total Energy (Wh),Total Duration (h),Energy per Song (Wh),Energy for 1M Songs (kWh),Cost for 1M Songs (EUR),Time per Song (h),Time for 1M Songs (h)
Gemma,346.07221794650064,342.81166666666667,362.6983333333334,1583.6998888888888,4.576666666666667,3.9592497222222223,3959.2497222222223,347622.1256111111,0.011441666666666668,11441.666666666668
Phi,390.2861849344159,388.285,399.4272727272728,6653.720805555556,17.0525,16.634302013888888,16634.30201388889,1460491.7168194444,0.042631249999999996,42631.24999999999
Qwen,372.517892933594,59.125,416.9633333333333,1598.9579444444448,4.228611111111111,3.997394861111112,3997.394861111112,350971.2688055556,0.010571527777777779,10571.52777777778
